timestamp,machine_id,event_type,event_detail,n_cpus,nomralized_mem,normalized_disk_space
0,1148,add,,64,0.690005953,1
0,1149,add,,64,0.690005953,1
0,1150,add,,64,0.690005953,1
0,1,add,,64,0.689969715,1
0,2,add,,64,0.689969715,1
0,3,add,,64,0.689969715,1
0,4,add,,64,0.689969715,1
0,5,add,,64,0.689969715,1
0,6,add,,64,0.689969715,1
0,7,add,,64,0.689969715,1
0,8,add,,64,0.689969715,1
0,9,add,,64,0.689969715,1
0,10,add,,64,0.689969715,1
0,11,add,,64,0.689969715,1
0,12,add,,64,0.689969715,1
0,13,add,,64,0.689969715,1
0,14,add,,64,0.689969715,1
0,15,add,,64,0.689969715,1
0,16,add,,64,0.689969715,1
0,17,add,,64,0.689969715,1
0,18,add,,64,0.689969715,1
0,19,add,,64,0.689969715,1
0,20,add,,64,0.689969715,1
0,21,add,,64,0.689969715,1
0,22,add,,64,0.689969715,1
0,23,add,,64,0.689969715,1
0,24,add,,64,0.689969715,1
0,25,add,,64,0.689969715,1
0,26,add,,64,0.689969715,1
0,27,add,,64,0.689969715,1
0,28,add,,64,0.689969715,1
0,29,add,,64,0.689969715,1
0,30,add,,64,0.689969715,1
0,31,add,,64,0.689969715,1
0,32,add,,64,0.689969715,1
0,33,add,,64,0.689969715,1
0,34,add,,64,0.689969715,1
0,35,add,,64,0.689969715,1
0,36,add,,64,0.689969715,1
0,37,add,,64,0.689969715,1
0,38,add,,64,0.689969715,1
0,39,add,,64,0.689969715,1
0,40,add,,64,0.689969715,1
0,41,add,,64,0.689969715,1
0,42,add,,64,0.689969715,1
0,43,add,,64,0.689969715,1
0,44,add,,64,0.689969715,1
0,45,add,,64,0.689969715,1
0,46,add,,64,0.689969715,1
0,47,add,,64,0.689969715,1
0,48,add,,64,0.689969715,1
0,49,add,,64,0.689969715,1
0,50,add,,64,0.689969715,1
0,51,add,,64,0.689969715,1
0,52,add,,64,0.689969715,1
0,53,add,,64,0.689969715,1
0,54,add,,64,0.689969715,1
0,55,add,,64,0.689969715,1
0,56,add,,64,0.689969715,1
0,57,add,,64,0.689969715,1
0,58,add,,64,0.689969715,1
0,59,add,,64,0.689969715,1
0,60,add,,64,0.689969715,1
0,61,add,,64,0.689969715,1
0,62,add,,64,0.689969715,1
0,63,add,,64,0.689969715,1
0,64,add,,64,0.689969715,1
0,65,add,,64,0.689969715,1
0,66,add,,64,0.689969715,1
0,67,add,,64,0.689969715,1
0,68,add,,64,0.689969715,1
0,69,add,,64,0.689969715,1
0,70,add,,64,0.689969715,1
0,71,add,,64,0.689969715,1
0,72,add,,64,0.689969715,1
0,73,add,,64,0.689969715,1
0,74,add,,64,0.689969715,1
0,75,add,,64,0.689969715,1
0,76,add,,64,0.689969715,1
0,77,add,,64,0.689969715,1
0,78,add,,64,0.689969715,1
0,79,add,,64,0.689969715,1
0,80,add,,64,0.689969715,1
0,81,add,,64,0.689969715,1
0,82,add,,64,0.689969715,1
0,83,add,,64,0.689969715,1
0,84,add,,64,0.689969715,1
0,85,add,,64,0.689969715,1
0,86,add,,64,0.689969715,1
0,87,add,,64,0.689969715,1
0,88,add,,64,0.689969715,1
0,89,add,,64,0.689969715,1
0,90,add,,64,0.689969715,1
0,91,add,,64,0.689969715,1
0,92,add,,64,0.689969715,1
0,93,add,,64,0.689969715,1
0,94,add,,64,0.689969715,1
0,95,add,,64,0.689969715,1
0,96,add,,64,0.689969715,1
0,97,add,,64,0.689969715,1
0,98,add,,64,0.689969715,1
0,99,add,,64,0.689969715,1
0,100,add,,64,0.689969715,1
0,101,add,,64,0.689969715,1
0,102,add,,64,0.689969715,1
0,103,add,,64,0.689969715,1
0,104,add,,64,0.689969715,1
0,105,add,,64,0.689969715,1
0,106,add,,64,0.689969715,1
0,107,add,,64,0.689969715,1
0,108,add,,64,0.689969715,1
0,109,add,,64,0.689969715,1
0,110,add,,64,0.689969715,1
0,111,add,,64,0.689969715,1
0,112,add,,64,0.689969715,1
0,113,add,,64,0.689969715,1
0,114,add,,64,0.689969715,1
0,115,add,,64,0.689969715,1
0,116,add,,64,0.689969715,1
0,117,add,,64,0.689969715,1
0,118,add,,64,0.689969715,1
0,119,add,,64,0.689969715,1
0,120,add,,64,0.689969715,1
0,121,add,,64,0.689969715,1
0,122,add,,64,0.689969715,1
0,123,add,,64,0.689969715,1
0,124,add,,64,0.689969715,1
0,125,add,,64,0.689969715,1
0,126,add,,64,0.689969715,1
0,127,add,,64,0.689969715,1
0,128,add,,64,0.689969715,1
0,129,add,,64,0.689969715,1
0,130,add,,64,0.689969715,1
0,131,add,,64,0.689969715,1
0,132,add,,64,0.689969715,1
0,133,add,,64,0.689969715,1
0,134,add,,64,0.689969715,1
0,135,add,,64,0.689969715,1
