timestamp,event type,instance_id,machine_id,n_cpu,normalized_mem,normalized_disk_space,cpu_id
0,Create,10000,934,4,0.042409339,0.034085122,40|41|42|43
0,Create,1000,1295,8,0.084818678,0.056808536,56|57|58|59|60|61|62|63
0,Create,10001,668,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,10002,1217,8,0.084818678,0.056808536,4|5|6|7|8|9|10|11
0,Create,10003,1019,4,0.042409339,0.034085122,36|37|38|39
0,Create,10004,872,4,0.042409339,0.034085122,36|37|38|39
0,Create,10005,556,8,0.169637357,0.056808536,52|53|54|55|56|57|58|59
0,Create,10006,308,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,10007,53,4,0.042409339,0.034085122,40|41|42|43
0,Create,10008,348,8,0.169637357,0.056808536,36|37|38|39|40|41|42|43
0,Create,10009,89,4,0.042409339,0.034085122,44|45|46|47
0,Create,10010,233,4,0.042409339,0.034085122,44|45|46|47
0,Create,10011,1230,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,10012,654,4,0.042409339,0.034085122,44|45|46|47
0,Create,10013,753,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,10014,1067,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,10015,1012,4,0.042409339,0.034085122,48|49|50|51
0,Create,10016,576,6,0.042409339,0.034085122,32|33|34|35|36|37
0,Create,1001,704,4,0.042409339,0.045446829,12|13|14|15
0,Create,10017,307,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,10018,1006,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,10019,329,4,0.042409339,0.034085122,12|13|14|15
0,Create,10020,200,4,0.042409339,0.034085122,16|17|18|19
0,Create,10021,17,4,0.042409339,0.034085122,48|49|50|51
0,Create,1002,253,4,0.042409339,0.034085122,20|21|22|23
0,Create,10022,94,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,10023,975,4,0.042409339,0.045446829,12|13|14|15
0,Create,10024,899,8,0.084818678,0.085212805,36|37|38|39|40|41|42|43
0,Create,10025,1101,4,0.042409339,0.034085122,42|43|44|45
0,Create,10026,1219,4,0.042409339,0.034085122,0|1|2|3
0,Create,10027,703,4,0.042409339,0.034085122,16|17|18|19
0,Create,10028,1112,8,0.084818678,0.085212805,16|17|18|19|20|21|22|23
0,Create,10029,192,4,0.042409339,0.034085122,52|53|54|55
0,Create,10030,316,4,0.042409339,0.034085122,38|39|40|41
0,Create,10031,32,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,10032,1223,16,0.318070044,0.113617073,20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35
0,Create,10033,16,4,0.042409339,0.034085122,44|45|46|47
0,Create,10034,1252,4,0.042409339,0.034085122,12|13|14|15
0,Create,10035,870,4,0.042409339,0.034085122,40|41|42|43
0,Create,10036,1226,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,1003,751,4,0.053011674,0.034085122,36|37|38|39
0,Create,10037,697,8,0.084818678,0.085212805,56|57|58|59|60|61|62|63
0,Create,10038,1256,4,0.042409339,0.034085122,12|13|14|15
0,Create,10039,1299,4,0.042409339,0.034085122,56|57|58|59
0,Create,1004,1251,4,0.042409339,0.034085122,12|13|14|15
0,Create,10041,254,4,0.042409339,0.034085122,24|25|26|27
0,Create,10042,1306,4,0.042409339,0.034085122,44|45|46|47
0,Create,10043,1304,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,10044,666,4,0.042409339,0.034085122,60|61|62|63
0,Create,10045,607,4,0.042409339,0.034085122,32|33|34|35
0,Create,10046,1290,4,0.042409339,0.034085122,52|53|54|55
0,Create,10047,1040,4,0.042409339,0.034085122,32|33|34|35
0,Create,10048,1070,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,10049,1089,8,0.084818678,0.045446829,16|17|18|19|20|21|22|23
0,Create,10050,1101,4,0.042409339,0.034085122,50|51|52|53
0,Create,10051,1228,8,0.084818678,0.056808536,12|13|14|15|16|17|18|19
0,Create,10052,723,16,0.169637357,0.113617073,48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63
0,Create,10053,254,4,0.042409339,0.034085122,8|9|10|11
0,Create,10054,1277,4,0.042409339,0.034085122,56|57|58|59
0,Create,10055,827,4,0.042409339,0.034085122,40|41|42|43
0,Create,10056,1177,8,0.084818678,0.056808536,16|17|18|19|20|21|22|23
0,Create,1005,69,4,0.053011674,0.034085122,32|33|34|35
0,Create,10057,57,4,0.042409339,0.034085122,40|41|42|43
0,Create,10058,722,4,0.042409339,0.034085122,44|45|46|47
0,Create,10059,203,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,10060,7,8,0.084818678,0.085212805,56|57|58|59|60|61|62|63
0,Create,10061,885,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,10062,637,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,10063,567,4,0.042409339,0.034085122,44|45|46|47
0,Create,10064,575,8,0.084818678,0.056808536,16|17|18|19|20|21|22|23
0,Create,10065,1195,4,0.042409339,0.034085122,60|61|62|63
0,Create,10066,753,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,10067,352,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,1006,837,4,0.042409339,0.034085122,40|41|42|43
0,Create,10068,781,8,0.084818678,0.085212805,38|39|40|41|58|59|60|61
0,Create,10069,787,8,0.084818678,0.068170244,52|53|54|55|56|57|58|59
0,Create,10070,1033,4,0.042409339,0.034085122,40|41|42|43
0,Create,10071,22,4,0.042409339,0.034085122,40|41|42|43
0,Create,10072,720,4,0.042409339,0.034085122,20|21|22|23
0,Create,10073,308,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
